# UV luminosity at 1500 A for continuous SFR ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_l1500 [erg/s/Hz] ; log_l1500_2 ; log_l1500_3
time_yr,log_l1500,log_l1500_2,log_l1500_3
49900000.0,40.447,39.855,40.337
50000000.0,40.447,39.856,40.337
50100000.0,40.447,39.856,40.337
50200000.0,40.447,39.856,40.338
50300000.0,40.447,39.857,40.338
50400000.0,40.447,39.857,40.338
50500000.0,40.447,39.858,40.338
50600000.0,40.448,39.858,40.338
50700000.0,40.448,39.858,40.339
50800000.0,40.448,39.859,40.339
50900000.0,40.448,39.859,40.339
51000000.0,40.448,39.86,40.339
51100000.0,40.448,39.86,40.34
51200000.0,40.448,39.86,40.34
51300000.0,40.449,39.861,40.34
51400000.0,40.449,39.861,40.34
51500000.0,40.449,39.861,40.34
51600000.0,40.449,39.862,40.341
51700000.0,40.449,39.862,40.341
51800000.0,40.449,39.863,40.341
51900000.0,40.449,39.863,40.341
52000000.0,40.45,39.863,40.341
52100000.0,40.45,39.864,40.342
52200000.0,40.45,39.864,40.342
52300000.0,40.45,39.865,40.342
52400000.0,40.45,39.865,40.342
52500000.0,40.45,39.865,40.342
52600000.0,40.45,39.866,40.343
52700000.0,40.451,39.866,40.343
52800000.0,40.451,39.866,40.343
52900000.0,40.451,39.867,40.343
53000000.0,40.451,39.867,40.343
53100000.0,40.451,39.867,40.344
53200000.0,40.451,39.868,40.344
53300000.0,40.451,39.868,40.344
53400000.0,40.452,39.869,40.344
53500000.0,40.452,39.869,40.345
53600000.0,40.452,39.869,40.345
53700000.0,40.452,39.87,40.345
53800000.0,40.452,39.87,40.345
53900000.0,40.452,39.87,40.345
54000000.0,40.452,39.871,40.346
54100000.0,40.452,39.871,40.346
54200000.0,40.453,39.871,40.346
54300000.0,40.453,39.872,40.346
54400000.0,40.453,39.872,40.346
54500000.0,40.453,39.872,40.346
54600000.0,40.453,39.873,40.347
54700000.0,40.453,39.873,40.347
54800000.0,40.453,39.874,40.347
54900000.0,40.454,39.874,40.347
55000000.0,40.454,39.874,40.347
55100000.0,40.454,39.875,40.348
55200000.0,40.454,39.875,40.348
55300000.0,40.454,39.875,40.348
55400000.0,40.454,39.876,40.348
55500000.0,40.454,39.876,40.348
55600000.0,40.454,39.876,40.349
55700000.0,40.455,39.877,40.349
55800000.0,40.455,39.877,40.349
55900000.0,40.455,39.877,40.349
56000000.0,40.455,39.878,40.349
56100000.0,40.455,39.878,40.35
56200000.0,40.455,39.878,40.35
56300000.0,40.455,39.879,40.35
56400000.0,40.455,39.879,40.35
56500000.0,40.456,39.879,40.35
56600000.0,40.456,39.88,40.35
56700000.0,40.456,39.88,40.351
56800000.0,40.456,39.88,40.351
56900000.0,40.456,39.881,40.351
57000000.0,40.456,39.881,40.351
57100000.0,40.456,39.881,40.351
57200000.0,40.456,39.882,40.352
57300000.0,40.457,39.882,40.352
57400000.0,40.457,39.882,40.352
57500000.0,40.457,39.883,40.352
57600000.0,40.457,39.883,40.352
57700000.0,40.457,39.883,40.352
57800000.0,40.457,39.884,40.353
57900000.0,40.457,39.884,40.353
58000000.0,40.457,39.884,40.353
58100000.0,40.458,39.885,40.353
58200000.0,40.458,39.885,40.353
58300000.0,40.458,39.885,40.353
58400000.0,40.458,39.886,40.354
58500000.0,40.458,39.886,40.354
58600000.0,40.458,39.886,40.354
58700000.0,40.458,39.887,40.354
58800000.0,40.458,39.887,40.354
58900000.0,40.458,39.887,40.355
59000000.0,40.459,39.888,40.355
