lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
4.270e+01,1.000e-04,-1.590e-02,3.630e-24,2.590e+02,4.000e-01
4.170e+01,1.000e-04,-1.630e-02,3.810e-24,2.720e+02,4.000e-01
4.070e+01,1.000e-04,-1.670e-02,3.990e-24,2.860e+02,4.000e-01
3.980e+01,1.000e-04,-1.710e-02,4.190e-24,2.990e+02,4.000e-01
3.890e+01,1.000e-04,-1.750e-02,4.390e-24,3.140e+02,4.000e-01
3.800e+01,1.000e-04,-1.790e-02,4.600e-24,3.290e+02,4.000e-01
3.720e+01,2.000e-04,-1.830e-02,4.810e-24,3.440e+02,4.000e-01
3.630e+01,2.000e-04,-1.860e-02,5.030e-24,3.600e+02,4.000e-01
3.550e+01,2.000e-04,-1.900e-02,5.260e-24,3.760e+02,4.000e-01
3.470e+01,2.000e-04,-1.930e-02,5.490e-24,3.930e+02,4.000e-01
3.390e+01,2.000e-04,-1.960e-02,5.740e-24,4.100e+02,4.000e-01
3.310e+01,2.000e-04,-1.980e-02,6.000e-24,4.290e+02,4.000e-01
3.240e+01,2.000e-04,-2.010e-02,6.270e-24,4.480e+02,4.000e-01
3.160e+01,2.000e-04,-2.030e-02,6.560e-24,4.690e+02,4.000e-01
3.090e+01,2.000e-04,-2.050e-02,6.850e-24,4.900e+02,4.000e-01
3.020e+01,2.000e-04,-2.070e-02,7.160e-24,5.120e+02,4.000e-01
2.950e+01,2.000e-04,-2.080e-02,7.470e-24,5.340e+02,4.000e-01
2.880e+01,2.000e-04,-2.100e-02,7.790e-24,5.570e+02,4.000e-01
2.820e+01,3.000e-04,-2.110e-02,8.120e-24,5.810e+02,4.000e-01
2.750e+01,3.000e-04,-2.130e-02,8.470e-24,6.050e+02,4.000e-01
2.690e+01,3.000e-04,-2.140e-02,8.820e-24,6.310e+02,4.000e-01
2.630e+01,3.000e-04,-2.150e-02,9.190e-24,6.570e+02,4.000e-01
2.570e+01,3.000e-04,-2.150e-02,9.560e-24,6.840e+02,4.000e-01
