time_yr,log_snr,log_snr_2,log_snr_3
362610020.0,-30.0,-30.0,-30.0
362710020.0,-30.0,-30.0,-30.0
362810020.0,-30.0,-30.0,-30.0
362910020.0,-30.0,-30.0,-30.0
363010020.0,-30.0,-30.0,-30.0
363110020.0,-30.0,-30.0,-30.0
363210020.0,-30.0,-30.0,-30.0
363310020.0,-30.0,-30.0,-30.0
363410020.0,-30.0,-30.0,-30.0
363510020.0,-30.0,-30.0,-30.0
363610020.0,-30.0,-30.0,-30.0
363710020.0,-30.0,-30.0,-30.0
363810020.0,-30.0,-30.0,-30.0
363910020.0,-30.0,-30.0,-30.0
364010020.0,-30.0,-30.0,-30.0
364110020.0,-30.0,-30.0,-30.0
364210020.0,-30.0,-30.0,-30.0
364310020.0,-30.0,-30.0,-30.0
364410020.0,-30.0,-30.0,-30.0
364510020.0,-30.0,-30.0,-30.0
364610020.0,-30.0,-30.0,-30.0
364710020.0,-30.0,-30.0,-30.0
364810020.0,-30.0,-30.0,-30.0
364910020.0,-30.0,-30.0,-30.0
365010020.0,-30.0,-30.0,-30.0
365110020.0,-30.0,-30.0,-30.0
365210020.0,-30.0,-30.0,-30.0
365310020.0,-30.0,-30.0,-30.0
365410020.0,-30.0,-30.0,-30.0
365510020.0,-30.0,-30.0,-30.0
365610020.0,-30.0,-30.0,-30.0
365710020.0,-30.0,-30.0,-30.0
365810020.0,-30.0,-30.0,-30.0
365910020.0,-30.0,-30.0,-30.0
366010020.0,-30.0,-30.0,-30.0
366110020.0,-30.0,-30.0,-30.0
366210020.0,-30.0,-30.0,-30.0
366310020.0,-30.0,-30.0,-30.0
366410020.0,-30.0,-30.0,-30.0
366510020.0,-30.0,-30.0,-30.0
366610020.0,-30.0,-30.0,-30.0
366710020.0,-30.0,-30.0,-30.0
366810020.0,-30.0,-30.0,-30.0
366910020.0,-30.0,-30.0,-30.0
367010020.0,-30.0,-30.0,-30.0
367110020.0,-30.0,-30.0,-30.0
367210020.0,-30.0,-30.0,-30.0
367310020.0,-30.0,-30.0,-30.0
367410020.0,-30.0,-30.0,-30.0
367510020.0,-30.0,-30.0,-30.0
367610020.0,-30.0,-30.0,-30.0
367710020.0,-30.0,-30.0,-30.0
367810020.0,-30.0,-30.0,-30.0
367910020.0,-30.0,-30.0,-30.0
368010020.0,-30.0,-30.0,-30.0
368110020.0,-30.0,-30.0,-30.0
368210020.0,-30.0,-30.0,-30.0
368310020.0,-30.0,-30.0,-30.0
368410020.0,-30.0,-30.0,-30.0
368510020.0,-30.0,-30.0,-30.0
368610020.0,-30.0,-30.0,-30.0
368710020.0,-30.0,-30.0,-30.0
368810020.0,-30.0,-30.0,-30.0
368910020.0,-30.0,-30.0,-30.0
369010020.0,-30.0,-30.0,-30.0
369110020.0,-30.0,-30.0,-30.0
369210020.0,-30.0,-30.0,-30.0
369310020.0,-30.0,-30.0,-30.0
369410020.0,-30.0,-30.0,-30.0
369510020.0,-30.0,-30.0,-30.0
369610020.0,-30.0,-30.0,-30.0
369710020.0,-30.0,-30.0,-30.0
369810020.0,-30.0,-30.0,-30.0
369910020.0,-30.0,-30.0,-30.0
370010020.0,-30.0,-30.0,-30.0
370110020.0,-30.0,-30.0,-30.0
370210020.0,-30.0,-30.0,-30.0
370310020.0,-30.0,-30.0,-30.0
370410020.0,-30.0,-30.0,-30.0
370510020.0,-30.0,-30.0,-30.0
370610020.0,-30.0,-30.0,-30.0
370710020.0,-30.0,-30.0,-30.0
370810020.0,-30.0,-30.0,-30.0
370910020.0,-30.0,-30.0,-30.0
371010020.0,-30.0,-30.0,-30.0
371110020.0,-30.0,-30.0,-30.0
371210020.0,-30.0,-30.0,-30.0
371310020.0,-30.0,-30.0,-30.0
371410020.0,-30.0,-30.0,-30.0
371510020.0,-30.0,-30.0,-30.0
371610020.0,-30.0,-30.0,-30.0
371710020.0,-30.0,-30.0,-30.0
371810020.0,-30.0,-30.0,-30.0
371910020.0,-30.0,-30.0,-30.0
372010020.0,-30.0,-30.0,-30.0
372110020.0,-30.0,-30.0,-30.0
372210020.0,-30.0,-30.0,-30.0
372310020.0,-30.0,-30.0,-30.0
372410020.0,-30.0,-30.0,-30.0
372510020.0,-30.0,-30.0,-30.0
372610020.0,-30.0,-30.0,-30.0
372710020.0,-30.0,-30.0,-30.0
372810020.0,-30.0,-30.0,-30.0
372910020.0,-30.0,-30.0,-30.0
373010020.0,-30.0,-30.0,-30.0
373110020.0,-30.0,-30.0,-30.0
373210020.0,-30.0,-30.0,-30.0
373310020.0,-30.0,-30.0,-30.0
373410020.0,-30.0,-30.0,-30.0
373510020.0,-30.0,-30.0,-30.0
373610020.0,-30.0,-30.0,-30.0
373710020.0,-30.0,-30.0,-30.0
373810020.0,-30.0,-30.0,-30.0
373910020.0,-30.0,-30.0,-30.0
374010020.0,-30.0,-30.0,-30.0
374110020.0,-30.0,-30.0,-30.0
374210020.0,-30.0,-30.0,-30.0
374310020.0,-30.0,-30.0,-30.0
374410020.0,-30.0,-30.0,-30.0
374510020.0,-30.0,-30.0,-30.0
374610020.0,-30.0,-30.0,-30.0
374710020.0,-30.0,-30.0,-30.0
374810020.0,-30.0,-30.0,-30.0
374910020.0,-30.0,-30.0,-30.0
375010020.0,-30.0,-30.0,-30.0
375110020.0,-30.0,-30.0,-30.0
375210020.0,-30.0,-30.0,-30.0
375310020.0,-30.0,-30.0,-30.0
375410020.0,-30.0,-30.0,-30.0
375510020.0,-30.0,-30.0,-30.0
375610020.0,-30.0,-30.0,-30.0
375710020.0,-30.0,-30.0,-30.0
375810020.0,-30.0,-30.0,-30.0
375910020.0,-30.0,-30.0,-30.0
376010020.0,-30.0,-30.0,-30.0
376110020.0,-30.0,-30.0,-30.0
376210020.0,-30.0,-30.0,-30.0
376310020.0,-30.0,-30.0,-30.0
376410020.0,-30.0,-30.0,-30.0
376510020.0,-30.0,-30.0,-30.0
376610020.0,-30.0,-30.0,-30.0
376710020.0,-30.0,-30.0,-30.0
376810020.0,-30.0,-30.0,-30.0
376910020.0,-30.0,-30.0,-30.0
377010020.0,-30.0,-30.0,-30.0
377110020.0,-30.0,-30.0,-30.0
377210020.0,-30.0,-30.0,-30.0
377310020.0,-30.0,-30.0,-30.0
377410020.0,-30.0,-30.0,-30.0
377510020.0,-30.0,-30.0,-30.0
377610020.0,-30.0,-30.0,-30.0
377710020.0,-30.0,-30.0,-30.0
377810020.0,-30.0,-30.0,-30.0
377910020.0,-30.0,-30.0,-30.0
378010020.0,-30.0,-30.0,-30.0
378110020.0,-30.0,-30.0,-30.0
378210020.0,-30.0,-30.0,-30.0
378310020.0,-30.0,-30.0,-30.0
378410020.0,-30.0,-30.0,-30.0
378510020.0,-30.0,-30.0,-30.0
378610020.0,-30.0,-30.0,-30.0
378710020.0,-30.0,-30.0,-30.0
378810020.0,-30.0,-30.0,-30.0
378910020.0,-30.0,-30.0,-30.0
379010020.0,-30.0,-30.0,-30.0
379110020.0,-30.0,-30.0,-30.0
379210020.0,-30.0,-30.0,-30.0
379310020.0,-30.0,-30.0,-30.0
379410020.0,-30.0,-30.0,-30.0
379510020.0,-30.0,-30.0,-30.0
379610020.0,-30.0,-30.0,-30.0
379710020.0,-30.0,-30.0,-30.0
379810020.0,-30.0,-30.0,-30.0
379910020.0,-30.0,-30.0,-30.0
380010020.0,-30.0,-30.0,-30.0
380110020.0,-30.0,-30.0,-30.0
380210020.0,-30.0,-30.0,-30.0
380310020.0,-30.0,-30.0,-30.0
